Title,Date,Category,Income/Expense,Amount
"Internet Banking E-TRANSFER 103937244055 Nil",02/17/2002,Food,Income,8320.10
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE U OF M REGISTRA 114222247236",07/19/2000,Accommodation,Expense,1723.96
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 130519882534",09/22/2009,Personal,Expense,7023.05
"Point of Sale - INTERAC RETAIL PURCHASE 000001001184 UNICITY TAXI #",09/05/2006,Personal,Income,2789.74
"Point of Sale - INTERAC RETAIL PURCHASE 000001541047 SOBEYS #5037",11/01/2000,Health,Expense,9873.68
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 120843570813",06/29/2015,Food,Income,4119.33
"DOORDASH*MCDONALDS DOWNTOWN TORO, ON",05/15/2008,Utilities,Income,8984.59
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.289000",03/27/2012,Utilities,Expense,6213.50
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 116343132120",05/14/2009,Utilities,Income,3292.65
"Internet Banking ",07/11/2016,Food,Expense,7975.08
"AMZN Mktp CA*2R9IA3ZW2 WWW.AMAZON.CA, ON",08/19/2015,Food,Income,2649.73
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE CINEPLEX #8030 128507513608",11/12/2019,Food,Income,694.90
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 115521642780",09/21/2004,Accommodation,Income,2431.00
"TIM HORTONS #8152 WINNIPEG MB",05/16/2017,Utilities,Income,224.92
"PAYPAL *IGLOOB16 4029357733, ON",05/02/2009,Utilities,Expense,4785.91
"Point of Sale - INTERAC RETAIL PURCHASE 000001280019 ULTRACUTS STORE",10/24/2016,Personal,Income,4099.95
"Internet Banking INTERNET TRANSFER 000000259703",11/29/2015,Personal,Income,9593.18
"UBER CANADA/UBERTRIP TORONTO, ON",03/20/2019,Entertainment,Income,29.69
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129521971315",10/13/2015,Accommodation,Income,1549.52
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 128319713380",03/27/2020,Accommodation,Income,8591.75
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 100574173390",07/01/2000,Entertainment,Expense,7237.93
"PAYPAL *ASEELSAFI14 4029357733, ON",10/17/2003,Health,Income,8333.51
"Point of Sale - INTERAC RETAIL PURCHASE 000036006148 PEARLE VISION 5",07/19/2014,Health,Expense,8154.56
"Branch Transaction SERVICE CHARGE DISCOUNT",02/20/2007,Accommodation,Expense,7424.07
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 115221381293",04/03/2008,Health,Expense,9884.55
"Point of Sale - INTERAC RETAIL PURCHASE 000001001456 LONDON DRUGS 66",08/12/2019,Personal,Income,6847.20
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 120220289489",03/08/2014,Health,Income,1372.98
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129817307906",08/25/2020,Health,Income,7748.62
"Internet Banking INTERNET TRANSFER 000000233795",07/03/2007,Health,Expense,5257.04
"Crocs Canada, Inc. crocs.ca, ON",11/29/2014,Entertainment,Income,6150.07
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 115806783478 15.41 CAD @ 1.000000",11/13/2018,Accommodation,Income,491.38
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119300358087",04/18/2012,Personal,Expense,7064.65
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 112601145020",04/06/2015,Food,Income,1930.06
"Branch Transaction WITHDRAWAL IBB FORT RICHMOND SQ BANKING CENTR",02/10/2006,Utilities,Expense,3808.28
"Internet Banking INTERNET TRANSFER 000000242642",09/13/2004,Accommodation,Income,4748.41
"Internet Banking INTERNET TRANSFER 000000280436",08/02/2007,Food,Income,6421.81
"STARBUCKS COFFEE #48192 WINNIPEG, MB",09/06/2006,Food,Income,460.48
"Internet Banking INTERNET TRANSFER 000000218634",01/30/2005,Personal,Income,5393.39
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114421482951",10/28/2013,Personal,Expense,9724.57
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115764263401",09/08/2003,Health,Income,2226.07
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720786149 22.39 CAD @ 1.000000",09/27/2013,Entertainment,Expense,290.97
"Internet Banking INTERNET TRANSFER 000000259703",09/09/2007,Health,Expense,5111.99
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ABBYMAR 114420760500",06/08/2017,Utilities,Income,5953.76
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",03/25/2001,Health,Income,3779.17
"Internet Banking INTERNET TRANSFER 000000287755",06/19/2005,Entertainment,Expense,977.92
"Internet Banking E-TRANSFER 103851939670 Divagar",02/11/2015,Personal,Expense,9290.38
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 124323231129",11/27/2017,Accommodation,Income,426.25
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129721552614",08/06/2011,Utilities,Income,763.59
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 128574487262",05/23/2007,Health,Expense,7802.16
"UBER CANADA/UBERTRIP TORONTO ON",03/01/2009,Accommodation,Expense,5107.20
"Point of Sale - INTERAC RETAIL PURCHASE 000001143004 UPS STORE #189",02/18/2017,Personal,Expense,3835.83
"Internet Banking INTERNET TRANSFER 000000224660",06/24/2017,Entertainment,Expense,9799.73
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129220611555",11/11/2013,Utilities,Income,4260.74
"DOORDASH*7-ELEVEN DOWNTOWN TORO, ON",07/16/2005,Entertainment,Income,9660.58
"Point of Sale - INTERAC RETAIL PURCHASE 730001001074 7 ELEVEN STORE",09/17/2013,Health,Expense,6394.13
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8982929769 120773525764",11/18/2003,Accommodation,Income,8918.37
"AMZN Mktp CA*2L93I8MI2 WWW.AMAZON.CA, ON",10/03/2011,Personal,Expense,876.22
"Internet Banking INTERNET TRANSFER 000000260690",02/13/2020,Entertainment,Expense,4094.35
"AMZ*Amazon.ca WWW.AMAZON.CA, ON",05/21/2004,Accommodation,Expense,7304.02
"Point of Sale - INTERAC RETAIL PURCHASE 772001001002 7 ELEVEN STORE",02/23/2012,Entertainment,Income,347.27
"Point of Sale - INTERAC RETAIL PURCHASE 000001001173 DOLLARAMA #1286",05/17/2012,Accommodation,Income,9449.18
"Internet Banking E-TRANSFER 103907720458 Nil",05/07/2004,Utilities,Expense,9382.21
"Point of Sale - INTERAC RETAIL PURCHASE 852001001138 7 ELEVEN STORE",05/19/2000,Health,Income,991.26
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129013886157 113.55 CAD @ 1.000000",03/06/2020,Entertainment,Expense,4545.63
"VIMEO.COM 646-470-8422, NY 10.00 USD @ 1.312000",02/07/2014,Food,Income,7726.04
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 128319713380 75.00 CAD @ 1.000000",11/10/2017,Food,Expense,4296.01
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 125122740760 60.00 CAD @ 1.000000",06/11/2009,Food,Income,6560.57
"DOORDASH*RED LOBSTER DOWNTOWN TOROON",10/29/2001,Entertainment,Expense,4683.08
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129222472965 28.03 CAD @ 1.000000",04/16/2010,Personal,Expense,1100.98
"SOBEYS #5037 WINNIPEG MB",06/01/2013,Entertainment,Expense,9597.52
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 116343132120",09/15/2016,Food,Income,6583.28
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PP*6750CODE 112910330964",11/07/2006,Food,Income,5137.12
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 120843570813",06/07/2001,Entertainment,Income,2879.56
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115764263401",06/29/2005,Entertainment,Expense,5677.85
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115764263401",04/04/2010,Health,Expense,3779.91
"UOFMANITOBA-BOOKSTORE WINNIPEG, MB",10/19/2017,Food,Expense,2037.99
"Internet Banking INTERNET TRANSFER 000000280436",07/10/2003,Utilities,Expense,6701.31
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8980740778 125372611826",11/22/2009,Entertainment,Expense,3791.85
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 116343132146",11/12/2006,Utilities,Expense,4161.88
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/CA 114661843188",07/03/2019,Entertainment,Income,6637.05
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 125122740760 49.63 CAD @ 1.000000",09/23/2003,Accommodation,Income,9971.22
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 112517341247",09/03/2017,Health,Income,7775.51
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 124323231129 140.00 CAD @ 1.000000",04/15/2014,Entertainment,Expense,2076.42
"Internet Banking E-TRANSFER 103927439111 Nil",10/30/2006,Personal,Expense,2188.22
"SKECHERS USA CANADA 833-846-5891, ON",10/18/2014,Food,Expense,7647.13
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL PIZZA PIZZA LTD 125320842485 30.16 CAD @ 1.000000",09/13/2001,Food,Income,605.72
"Sony Interactive Enter 8003457669 CA",10/05/2018,Health,Expense,3556.95
"Internet Banking INTERNET TRANSFER 000000240361",04/01/2020,Food,Expense,22.71
"Crocs Canada, Inc. crocs.ca, ON",11/18/2016,Accommodation,Expense,7918.82
"Internet Banking INTERNET TRANSFER 000000274886",06/15/2008,Utilities,Income,6215.79
"Point of Sale - INTERAC RETAIL PURCHASE 000001280019 ULTRACUTS STORE",09/19/2007,Utilities,Income,4632.32
"Internet Banking INTERNET TRANSFER 000000235999",01/24/2010,Personal,Expense,3881.34
"DOORDASH*WAKO SUSHI CA DOWNTOWN TORO, ON",11/03/2008,Personal,Income,1354.89
"MARBLE SLAB CREAMERY WINNIPEG, MB",01/16/2017,Health,Expense,4639.79
"Internet Banking INTERNET TRANSFER 000000280173",06/04/2001,Health,Income,3234.23
"Internet Banking INTERNET TRANSFER 000000220619",09/19/2017,Food,Expense,917.57
"Internet Banking INTERNET TRANSFER 000000237749",11/16/2007,Health,Expense,9961.97
"AMZN Mktp CA*2L1RK2AP0 WWW.AMAZON.CA, ON",03/22/2006,Food,Income,1256.40
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 128120074581",11/17/2013,Personal,Income,7414.99
"APPLE.COM/BILL TORONTO, ON",06/11/2019,Personal,Income,296.04
"Internet Banking E-TRANSFER 103931951869 Nil",11/25/2013,Health,Income,934.70
"Internet Banking E-TRANSFER 103851939670 Divagar",10/05/2009,Accommodation,Expense,5467.94
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 116343132146",03/22/2009,Personal,Income,7126.48
"Point of Sale - INTERAC RETAIL PURCHASE 000653170804 ST VITAL VISION",09/21/2011,Utilities,Income,3918.61
"Internet Banking INTERNET TRANSFER 000000220619",08/21/2001,Entertainment,Income,2784.15
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129721552614",02/19/2018,Accommodation,Expense,4362.07
"Internet Banking INTERNET TRANSFER 000000262105",10/17/2001,Food,Income,8855.76
"Internet Banking INTERNET TRANSFER 000000246317",01/21/2009,Accommodation,Income,3305.62
"Internet Banking INTERNET TRANSFER 000000288020",06/16/2009,Entertainment,Expense,1993.02
"Internet Banking E-TRANSFER 103933806689 Cs Tutoring",04/08/2012,Health,Income,4347.69
"CASH ADVANCE/AVANCE DE FO NDS",03/10/2015,Health,Expense,8105.82
"SHOPPING WITH POINTS/ACHA T PAR POINTS",01/21/2007,Health,Expense,6348.29
"Internet Banking INTERNET DOM TRANSFER 103807220198",01/03/2004,Accommodation,Income,7882.84
"Internet Banking INTERNET BILL PAY 000000211857 MASTERCARD, BMO",03/08/2019,Food,Income,4845.06
"Point of Sale - INTERAC RETAIL PURCHASE 857001001125 7 ELEVEN STORE",04/21/2006,Accommodation,Income,1267.90
"Internet Banking INTERNET TRANSFER 000000275767",10/07/2012,Entertainment,Expense,3195.80
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 114242229059",01/15/2008,Health,Income,1285.44
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",06/09/2005,Utilities,Expense,3474.93
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL APPLE.COM/CA 215807003249",01/07/2016,Entertainment,Expense,9367.28
"Internet Banking INTERNET TRANSFER 000000242922",06/15/2009,Personal,Income,1480.54
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE dbrand Order 033515540976",01/19/2010,Accommodation,Expense,4235.98
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SOUQ 033517331671 424.50 EGP @ 0.085606",11/18/2019,Entertainment,Income,5737.31
"Internet Banking INTERNET TRANSFER 000000285225",06/02/2015,Entertainment,Income,8411.95
"AMZN Mktp CA*2C4GU87A1 WWW.AMAZON.CAON",01/05/2012,Entertainment,Expense,8472.66
"MARBLE SLAB CREAMERY WINNIPEG, MB",01/12/2001,Accommodation,Income,3015.50
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128320347743",04/16/2006,Food,Expense,4564.57
"Internet Banking E-TRANSFER 103908455504 ROBERTO DINGAL ORTEGA",04/10/2008,Accommodation,Income,4575.92
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 112601145020",08/07/2001,Accommodation,Income,5570.28
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 128319713380",01/22/2009,Utilities,Income,9946.11
"Internet Banking INTERNET BILL PAY 000000257907 MASTERCARD, BMO",07/21/2008,Accommodation,Income,6417.59
"7-ELEVEN 17060 D2811 WINNIPEG, MB",04/04/2018,Accommodation,Income,3403.87
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE NOON 033513110581 700.00 EGP @ 0.085600",11/16/2020,Utilities,Expense,3599.22
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 120723688008",11/16/2001,Utilities,Expense,9593.85
"Internet Banking INTERNET TRANSFER 000000248361",01/02/2002,Personal,Income,6881.96
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112517341247",10/14/2011,Health,Expense,8439.24
"ESHOPWORLD 35318809114",07/14/2001,Personal,Expense,4619.74
"Internet Banking INTERNET BILL PAY 000000257907 MASTERCARD, BMO",11/11/2016,Food,Expense,1728.11
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE H&R BLOCK 122420136933",07/10/2020,Entertainment,Expense,4480.63
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129013886157 113.55 CAD @ 1.000000",01/11/2019,Health,Expense,2888.41
"Internet Banking E-TRANSFER 103877893810 Divagar",05/01/2012,Entertainment,Expense,7680.65
"SKIPTHEDISHES WINNIPEG, MB",02/25/2007,Entertainment,Income,1828.74
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115562225836",11/15/2008,Food,Expense,5073.81
"AMZN Mktp CA*2L7583XQ0 WWW.AMAZON.CA, ON",04/15/2000,Utilities,Income,8986.33
"AMZN Mktp CA*SR64P9QY3 WWW.AMAZON.CA, ON",09/04/2016,Accommodation,Income,1751.85
"Point of Sale - INTERAC RETAIL PURCHASE 000036006148 PEARLE VISION 5",11/03/2005,Accommodation,Expense,4205.01
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 129013886157 120.00 CAD @ 1.000000",04/29/2003,Utilities,Income,175.97
"Point of Sale - INTERAC RETAIL PURCHASE 000001001569 LONDON DRUGS 66",10/10/2008,Utilities,Income,4528.11
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WINNIPEG TRANSI 121498930642",11/17/2005,Health,Income,7143.28
"DOORDASH*HSIEH FAMILY DOWNTOWN TOROON",07/09/2015,Health,Income,1140.06
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL GOOGLE *GOOGLE T21300778584 1320.48 CAD @ 1.000000",09/22/2009,Entertainment,Income,5548.12
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128704270353",03/29/2019,Food,Income,1260.54
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE U OF M REGISTRA 123621211044",06/11/2006,Food,Expense,6706.16
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 120723688008",08/21/2010,Entertainment,Expense,7447.71
"Internet Banking INTERNET TRANSFER 000000219008",02/09/2018,Accommodation,Expense,3778.23
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515380970",10/02/2000,Health,Income,9553.13
"SHOPPING WITH POINTS/ACHA T PAR POINTS",03/25/2012,Entertainment,Expense,3741.32
"SOBEYS #5037 WINNIPEG, MB",02/24/2001,Food,Income,521.51
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE BDS-INFO.CH 120907700336 20.00 USD @ 1.292000",01/16/2002,Entertainment,Expense,3647.70
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720281741 17.39 CAD @ 1.000000",06/13/2015,Utilities,Expense,1118.98
"DOORDASH*MCDONALDS DOWNTOWN TORO, ON",03/24/2012,Accommodation,Expense,6488.80
"Point of Sale - INTERAC RETAIL PURCHASE 000001130002 GREENWOODS DENT",04/25/2014,Entertainment,Income,6398.61
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.252000",06/29/2016,Accommodation,Income,9587.85
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 125122533908",08/03/2005,Accommodation,Expense,9705.62
"PAY PER USE OVERDRAFT FEE",02/25/2011,Personal,Expense,5065.17
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130615818470",09/08/2006,Accommodation,Expense,106.33
"Point of Sale - INTERAC RETAIL PURCHASE 815001001156 7 ELEVEN STORE",04/20/2010,Personal,Expense,279.92
"AMZN Mktp CA*2L2SG1VY1 WWW.AMAZON.CA, ON",11/13/2019,Entertainment,Income,6584.93
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WWW.IKEA.CA 128415214343",11/02/2007,Entertainment,Income,7641.49
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE BDS-INFO.CH 120906774319 20.00 USD @ 1.292000",02/17/2011,Accommodation,Expense,2349.69
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 125320842485",04/04/2020,Entertainment,Income,1569.76
"Internet Banking E-TRANSFER 103904094175 divagar",08/29/2020,Food,Income,7862.53
"Internet Banking INTERNET TRANSFER 000000237749",01/26/2004,Food,Income,6352.73
"7 ELEVEN STORE #32317 WINNIPEG, MB",10/04/2017,Personal,Income,8415.17
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE PIZZA PIZZA LTD T21257248801 30.07 CAD @ 1.000000",08/17/2004,Accommodation,Expense,2229.86
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115764263401",05/11/2012,Health,Income,6933.58
"UBER *TRIP AMSTERDAM, ON",07/29/2005,Entertainment,Expense,4976.10
"Internet Banking INTERNET DOM TRANSFER 103807220198",02/07/2014,Personal,Expense,5221.69
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130615291106",11/01/2016,Utilities,Income,2938.27
"Internet Banking INTERNET TRANSFER 000000260690",10/11/2017,Accommodation,Expense,2136.95
"Point of Sale - INTERAC RETAIL PURCHASE 000001541047 SOBEYS #5037",09/05/2012,Health,Expense,3570.54
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL APPLE.COM/CA 215807003250",07/27/2005,Utilities,Expense,4924.72
"SQ *OH DOUGHNUTS gosq.com MB",02/26/2012,Entertainment,Expense,4513.41
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8989078410 100175533173",02/13/2020,Entertainment,Expense,1737.00
"DOORDASH*RED LOBSTER DOWNTOWN TOROON",04/11/2006,Accommodation,Income,9219.70
"DOORDASH*RED FOOT KITC DOWNTOWN TORO, ON",04/02/2007,Entertainment,Income,8864.04
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 124323231129 140.00 CAD @ 1.000000",06/24/2001,Utilities,Income,936.97
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8982929769 120773525764",11/29/2013,Personal,Income,4195.94
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 115521642780",07/02/2010,Accommodation,Income,5052.29
"SQ *OH DOUGHNUTS gosq.com MB",11/11/2018,Accommodation,Expense,4208.67
"Internet Banking INTERNET TRANSFER 000000233939",06/04/2000,Health,Expense,7160.88
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8987807342 114434941244",09/11/2001,Personal,Income,298.93
"Internet Banking INTERNET BILL PAY 000000232460 UNIVERSITY OF MANITOBA",03/21/2004,Accommodation,Expense,7854.59
"Internet Banking INTERNET BILL PAY 000000277385 UNIVERSITY OF MANITOBA",01/28/2016,Food,Income,8482.05
"Internet Banking E-TRANSFER 103927439111 Nil",04/08/2020,Utilities,Expense,8710.42
"Internet Banking E-TRANSFER 103835467191 kijiji controller user",02/21/2013,Food,Expense,172.59
