Title,Month,Day,Year,Category,Income/Expense,Amount
"purchase",11,1,2021,Utilities,Expense,200.00
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 125122740760 49.63 CAD @ 1.000000",9,24,2007,Utilities,Expense,4897.62
"Point of Sale - INTERAC RETAIL PURCHASE 000001001569 LONDON DRUGS 66",6,19,2002,Food,Expense,5361.14
"Internet Banking INTERNET TRANSFER 000000274521",9,22,2011,Food,Income,6924.86
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *OZLEY L 120700380712",5,16,2004,Entertainment,Income,2818.26
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.243000",8,18,2008,Personal,Income,5752.82
"Electronic Funds Transfer CREDIT MEMO CIBC-DISATF",1,5,2011,Personal,Expense,4215.01
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129222472965 28.03 CAD @ 1.000000",7,8,2008,Accommodation,Income,7099.15
"Internet Banking INTERNET BILL PAY 000000257907 MASTERCARD, BMO",4,23,2001,Utilities,Income,5313.20
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 119701211405",10,3,2007,Health,Expense,4714.45
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",8,8,2000,Personal,Expense,1526.91
"Internet Banking INTERNET TRANSFER 000000242922",6,5,2002,Accommodation,Income,992.38
"Internet Banking INTERNET TRANSFER 000000283043",7,1,2017,Entertainment,Income,8046.02
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL AMZ*Rankie CA 215207007894",8,15,2017,Utilities,Expense,1192.73
"PONY CORRAL RESTAURANT WINNIPEG MB",6,22,2013,Entertainment,Expense,4007.85
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*TIM HO 120220634105",2,20,2015,Health,Income,2744.98
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*TIM HO 120220634105",6,21,2010,Entertainment,Income,1743.54
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 128711822579",1,16,2017,Entertainment,Expense,8533.55
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL H&M ONLINE 225707013470",3,8,2010,Health,Expense,3680.48
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WWW.IKEA.CA 128415214343",11,18,2017,Accommodation,Income,4282.14
"Point of Sale - INTERAC RETAIL PURCHASE 000001001391 DOLLARAMA #1286",2,16,2005,Health,Expense,8501.97
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515540976",4,24,2016,Utilities,Expense,1063.82
"CASH ADVANCE/AVANCE DE FO NDS",1,8,2020,Entertainment,Expense,8076.98
"Internet Banking INTERNET TRANSFER 000000275767",11,7,2007,Accommodation,Expense,4506.60
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 114720786149 22.39 CAD @ 1.000000",4,9,2018,Accommodation,Income,1993.16
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114820687805",6,13,2015,Food,Expense,9026.32
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128600189632",3,20,2004,Food,Income,6137.58
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 129817307906",1,14,2002,Utilities,Income,2235.11
"PAY PER USE OVERDRAFT FEE",1,20,2014,Health,Income,5263.51
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.263000",7,28,2010,Entertainment,Expense,2908.78
"APPLE.COM/US 800-676-2775, CA 10.00 USD @ 1.342000",6,15,2014,Entertainment,Income,2771.22
"INSTACART 8882467822, NS",3,20,2007,Entertainment,Expense,7211.49
"Internet Banking INTERNET TRANSFER 000000260690",9,13,2004,Accommodation,Income,7677.89
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL UBR* PENDING.UB 115806783478 12.41 CAD @ 1.000000",11,15,2001,Entertainment,Income,4021.04
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE SOUQ 033520005685 568.00 EGP @ 0.085616",1,25,2004,Health,Income,7747.06
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515540976",4,8,2009,Utilities,Expense,6145.21
"7-ELEVEN 17060 D2811 WINNIPEG, MB",5,29,2001,Personal,Income,5194.32
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 129013886157 120.00 CAD @ 1.000000",8,29,2005,Food,Income,8385.06
"APPLE.COM/BILL TORONTO, ON",9,11,2005,Personal,Expense,1153.94
"Point of Sale - INTERAC RETAIL PURCHASE 000011359309 AIRLINE LIMOUSI",7,8,2012,Health,Expense,6001.18
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 129013886157",10,17,2014,Health,Expense,2489.10
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 114820687805",7,3,2014,Utilities,Income,982.37
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WINNIPEG TRANSI 129710298809",6,1,2008,Personal,Expense,238.64
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 124323231129",10,2,2001,Food,Expense,3979.31
"Internet Banking INTERNET TRANSFER 000000277987",8,14,2013,Personal,Expense,5566.28
"LONDON DRUGS 66 WINNIPEG, MB",5,5,2005,Health,Income,4174.97
"Internet Banking INTERNET TRANSFER 000000225749",8,9,2008,Food,Expense,1745.78
"Internet Banking INTERNET TRANSFER 000000285648",8,8,2017,Accommodation,Expense,1434.31
"AMZN Mktp CA*SR64P9QY3 WWW.AMAZON.CA, ON",8,22,2008,Health,Income,7870.18
"Electronic Funds Transfer PREAUTHORIZED DEBIT PAYPAL",5,21,2004,Accommodation,Expense,9113.58
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 036362050688",10,1,2020,Accommodation,Expense,7268.23
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*MARBLE 119401668024",5,12,2004,Food,Expense,5784.47
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119300358087",4,23,2006,Food,Income,7242.12
"Internet Banking INTERNET TRANSFER 000000247264",3,24,2013,Entertainment,Income,4126.39
"U OF M REGISTRARS WINNIPEG, MB",11,15,2008,Entertainment,Income,9697.98
"PAYPAL *IGLOOB16 4029357733, ON",5,16,2019,Accommodation,Income,7199.10
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 128711822579",3,16,2001,Health,Expense,6702.93
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *OZLEY L 120700380712",2,14,2013,Health,Expense,7329.24
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 129222472965 30.00 CAD @ 1.000000",3,17,2001,Accommodation,Income,4849.13
"Internet Banking E-TRANSFER RECLAIM010387129802",2,16,2012,Accommodation,Income,4417.99
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.289000",3,5,2012,Personal,Expense,7814.77
"Internet Banking INTERNET TRANSFER 000000235999",4,25,2006,Personal,Income,5539.81
"Point of Sale - INTERAC RETAIL PURCHASE 852001001138 7 ELEVEN STORE",10,18,2002,Accommodation,Income,9125.04
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 129222472965",4,20,2017,Accommodation,Income,8676.29
"Internet Banking INTERNET TRANSFER 000000247264",9,14,2002,Utilities,Income,7881.68
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WINNIPEG TRANSI 121498930642",7,21,2020,Accommodation,Expense,5770.72
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL PIZZA PIZZA LTD 125320842485 30.16 CAD @ 1.000000",8,13,2012,Personal,Income,6881.84
"UBER* TRIP TORONTO ON",4,19,2014,Accommodation,Income,6241.11
"DOORDASH*MCDONALDS DOWNTOWN TORO, ON",4,6,2009,Health,Expense,4105.13
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE WU *8987807342 114434941244",4,9,2011,Personal,Income,4071.18
"Internet Banking ",7,8,2007,Personal,Expense,8340.95
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *EMPIREF 120700700976",9,11,2001,Entertainment,Income,8686.53
"Point of Sale - INTERAC RETAIL PURCHASE 000011359309 AIRLINE LIMOUSI",4,16,2006,Utilities,Income,976.18
"Crocs Canada, Inc. crocs.ca, ON",11,1,2009,Health,Expense,5324.59
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207718434 27.00 USD @ 1.273704",10,18,2018,Personal,Expense,4853.03
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 128319713380 51.74 CAD @ 1.000000",3,13,2000,Accommodation,Expense,1259.35
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 119618572370",8,17,2020,Health,Expense,4000.35
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Patreon* Member 118207718434 27.00 USD @ 1.273704",10,6,2019,Personal,Income,4240.32
"Internet Banking INTERNET TRANSFER 000000288020",3,3,2019,Personal,Expense,8233.63
"INSTACART 8882467822, NS",4,4,2011,Personal,Expense,1792.26
"Internet Banking INTERNET BILL PAY 000000275373 MASTERCARD, BMO",1,18,2020,Health,Income,1728.03
"Internet Banking INTERNET TRANSFER 000000226259",3,16,2008,Utilities,Expense,5775.91
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ASEELSA 130519882534",8,8,2018,Accommodation,Income,3245.74
"Point of Sale - Visa Debit VISA DEBIT MERCHANDISE RET REV INSTACART 112601145020",4,9,2006,Utilities,Expense,7471.66
"AMZN Mktp CA*2L84Y3JX0 WWW.AMAZON.CA, ON",3,2,2017,Health,Income,8006.21
"Point of Sale - Visa Debit CORRECTION dbrand Order 033515380970",1,12,2006,Personal,Income,5224.14
"Ding 73180577 Dublin",10,20,2004,Health,Expense,2787.54
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE PIZZA PIZZA LTD T21257248801 30.07 CAD @ 1.000000",5,23,2005,Entertainment,Income,1201.23
"DOORDASH*RED LOBSTER DOWNTOWN TOROON",3,14,2010,Entertainment,Expense,7369.01
"Point of Sale - INTERAC RETAIL PURCHASE 000001001391 DOLLARAMA #1286",10,16,2011,Personal,Income,3944.69
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 119820331428",3,5,2015,Personal,Expense,2651.26
"PURCHASE INTEREST",6,14,2001,Personal,Expense,5845.55
"SKIPTHEDISHES WINNIPEG, MB",6,1,2008,Utilities,Expense,3319.29
"Internet Banking INTERNET BILL PAY 000000257907 MASTERCARD, BMO",9,7,2017,Accommodation,Income,9774.45
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE PIZZA PIZZA LTD T21257248801 30.07 CAD @ 1.000000",11,23,2007,Food,Expense,9466.85
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.289000",9,24,2012,Health,Income,4317.66
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PIZZA PIZZA LTD 115222608388",8,23,2011,Food,Expense,440.25
"Internet Banking INTERNET TRANSFER 000000268205",11,3,2017,Personal,Income,2383.12
"WAL-MART SUPERCENTER#3177 WINNIPEG, MB",4,23,2015,Personal,Expense,1212.85
"EPC*EPIC GAMES STORE 919-854-0070 59.99 USD @ 1.344390",10,15,2013,Food,Expense,531.32
"EPC*EPIC GAMES STORE 919-854-0070 59.99 USD @ 1.344390",7,6,2019,Accommodation,Income,137.53
"MARBLE SLAB CREAMERY WINNIPEG, MB",7,23,2019,Utilities,Expense,8440.52
"SOUQ.COM CAIRO S. -07E 1199.00 EGP @ .086105",2,20,2017,Personal,Expense,7002.96
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130319587460",11,11,2018,Accommodation,Expense,6995.66
"LaunchGood Inc. 855-9991947, MI 10.00 USD @ 1.246000",9,26,2016,Health,Income,6714.30
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115135455508",8,8,2005,Health,Expense,8874.61
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE ROGERS *** 125633176134",3,12,2014,Health,Expense,7572.63
"LONDON DRUGS 66 WINNIPEG, MB",1,7,2000,Personal,Income,2103.10
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL H&M ONLINE 225707013470",1,15,2011,Entertainment,Expense,247.25
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBER *TRIP 115806783478 3.00 CAD @ 1.000000",2,5,2014,Food,Income,4996.48
"Internet Banking INTERNET TRANSFER 000000238278",1,1,2004,Health,Income,7185.83
"Branch Transaction CREDIT MEMO",6,15,2003,Personal,Expense,1735.27
"PURCHASE INTEREST",11,7,2007,Health,Expense,3342.66
"Internet Banking INTERNET TRANSFER 000000225749",8,14,2020,Health,Income,8805.46
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 129013886157 113.55 CAD @ 1.000000",2,27,2006,Entertainment,Income,6203.44
"Point of Sale - INTERAC RETAIL PURCHASE 000001714027 KIMCHI",5,15,2003,Accommodation,Income,1081.29
"PIZZA PIZZA LTD TORONTO ON",9,18,2007,Personal,Income,3245.99
"Internet Banking E-TRANSFER 103904096531 Nam Huy Bui",6,22,2002,Food,Expense,3142.06
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 100574173390",10,19,2003,Food,Income,20.02
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL PP*6750CODE 213107008052",2,5,2011,Health,Expense,6910.67
"Ding 73180577 Dublin",1,27,2000,Utilities,Expense,3140.49
"Internet Banking E-TRANSFER 103937244055 Nil",8,8,2013,Accommodation,Income,5428.82
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UBR* PENDING.UB 115806783478 15.41 CAD @ 1.000000",7,2,2008,Accommodation,Expense,1189.40
"Point of Sale - Visa Debit CORRECTION PAYPAL *ABBYMAR 114420760500",5,22,2020,Health,Expense,5638.18
"Ding 73866562 Dublin",7,21,2014,Personal,Income,6377.60
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128600189632",1,9,2019,Utilities,Income,4260.81
"Internet Banking INTERNET TRANSFER 000000239148",6,17,2011,Health,Income,5076.69
"Internet Banking INTERNET TRANSFER 000000280436",10,29,2003,Accommodation,Income,7752.25
"Point of Sale - INTERAC RETAIL PURCHASE 772001001002 7 ELEVEN STORE",10,4,2011,Accommodation,Income,2564.30
"Internet Banking INTERNET TRANSFER 000000248361",4,5,2020,Accommodation,Income,270.39
"Internet Banking E-TRANSFER 103291835592 Nil 2",3,26,2019,Utilities,Expense,2441.81
"Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE INSTACART 124323231129 129.00 CAD @ 1.000000",5,11,2013,Food,Expense,8143.47
"Point of Sale - Visa Debit VISA DEBIT PURCHASE REVERSAL INSTACART 112517341247",7,24,2008,Accommodation,Expense,2452.75
"Point of Sale - INTERAC RETAIL PURCHASE 000001714027 KIMCHI",5,27,2013,Accommodation,Expense,107.86
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *RAGHDA 115221381293",5,8,2009,Utilities,Income,373.09
"U OF M REGISTRARS WINNIPEG, MB",2,6,2014,Personal,Expense,129.96
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL INSTACART 124323231129 140.00 CAD @ 1.000000",7,30,2004,Personal,Expense,3133.87
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 130319587460",7,1,2013,Utilities,Income,6312.05
"Internet Banking E-TRANSFER 103835467191 kijiji controller user",1,4,2005,Accommodation,Expense,3942.75
"Internet Banking E-TRANSFER 103904721909 Cs Tutoring",6,6,2011,Personal,Income,5545.32
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE INSTACART 119320576697",3,14,2008,Health,Income,6411.46
"Point of Sale - INTERAC RETAIL PURCHASE 000001001173 DOLLARAMA #1286",4,5,2015,Food,Expense,7291.49
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE PAYPAL *ABBYMAR 114420760500",9,7,2019,Accommodation,Income,344.84
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115764263401",2,7,2018,Personal,Expense,3229.35
"SERVICE CHARGE",9,27,2005,Entertainment,Income,5218.68
"WWW.IKEA.CA BURLINGTON, ON",5,13,2015,Utilities,Income,8534.12
"Internet Banking INTERNET TRANSFER 000000214062",3,10,2017,Accommodation,Income,1235.06
"Internet Banking INTERNET TRANSFER 000000226259",9,4,2002,Accommodation,Expense,8205.15
"AMZN Mktp CA*2L2SG1VY1 WWW.AMAZON.CA, ON",4,15,2006,Health,Income,2705.34
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SKIPTHEDISHES 128320503371",3,17,2003,Accommodation,Income,8909.85
"Electronic Funds Transfer PREAUTHORIZED DEBIT CIBC-DISATF",7,23,2005,Food,Expense,6336.32
"Internet Banking E-TRANSFER 103931951354 Nam Huy Bui",1,12,2018,Health,Expense,4948.04
"Internet Banking E-TRANSFER 103780765947 Trina Dela Cruz",7,5,2003,Health,Expense,4856.48
"Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE APPLE.COM/BILL 115244629060",11,2,2015,Health,Income,4624.27
"Internet Banking INTERNET TRANSFER 000000262105",7,19,2008,Health,Income,5876.32
"AMZN Mktp CA*2L7583XQ0 WWW.AMAZON.CA, ON",8,27,2004,Entertainment,Income,6373.45
"VIMEO.COM 646-470-8422, NY 10.00 USD @ 1.312000",9,28,2013,Entertainment,Income,4966.72
"Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL GOOGLE *GOOGLE T21300778584 1320.48 CAD @ 1.000000",4,23,2011,Utilities,Income,3243.12
"PIZZA PIZZA LTD TORONTO, ON",8,18,2015,Entertainment,Expense,2436.35
"Internet Banking INTERNET TRANSFER 000000285225",9,6,2018,Accommodation,Income,9626.86
